query,no,token,pos
경주 여행,1,동궁,NNG
경주 여행,1,월지,NNG
경주 여행,1,첨성대,NNG
경주 여행,1,야경,NNG
경주 여행,1,연꽃,NNG
경주 여행,1,단지,MAG
경주 여행,1,분황사,NNG
경주 여행,1,방문,NNG
경주 여행,1,다시,MAG
경주 여행,1,남겨,VV+EC
경주 여행,1,이웃,NNG
경주 여행,1,지내,VV
경주 여행,1,나요,EF
경주 여행,1,지난주,NNG
경주 여행,1,blog,SL
경주 여행,1,naver,SL
경주 여행,1,com,SL
경주 여행,1,예전,NNG
경주 여행,1,사진,NNG
경주 여행,1,떠나,VV
경주 여행,1,진다,VX+EC
경주 여행,2,경북,NNP
경주 여행,2,천문,NNG
경주 여행,2,기상,NNG
경주 여행,2,관측대,NNG
경주 여행,2,첨성대,NNG
경주 여행,2,일자,NNG
경주 여행,2,2016,SN
경주 여행,2,인원,NNG
경주 여행,2,친구,NNG
경주 여행,2,함께,MAG
경주 여행,2,첨성대,NNG
경주 여행,2,경북,NNP
경주 여행,2,인왕동,NNP
경주 여행,2,839,SN
경주 여행,2,전화,NNG
경주 여행,2,054,SN
경주 여행,2,779,SN
경주 여행,2,8741,SN
경주 여행,2,첨성대,NNG
경주 여행,2,관람료,NNG
경주 여행,2,무료,NNG
경주 여행,2,경북,NNP
경주 여행,2,이야기,NNG
경주 여행,2,첨성대,NNG
경주 여행,2,에서,JKB
경주 여행,2,바라본,VV+ETM
경주 여행,2,대릉원,NNG
경주 여행,2,야경,NNG
경주 여행,3,데이,NNG
경주 여행,3,택시,NNG
경주 여행,3,투어,NNG
경주 여행,3,감사,NNG
경주 여행,3,합니다,XSV+EF
경주 여행,3,구매,NNG
경주 여행,3,https,SL
경주 여행,3,smartstore,SL
경주 여행,3,naver,SL
경주 여행,3,com,SL
경주 여행,3,dptour,SL
경주 여행,3,products,SL
경주 여행,3,5981873243,SN
경주 여행,3,플레이스,NNG
경주 여행,3,데이,NNG
경주 여행,3,택시,NNG
경주 여행,3,투어,NNG
경주 여행,3,돌고래,NNG
경주 여행,3,돌핀,NNG
경주 여행,3,스토어,NNG
경주 여행,3,플레이스,NNG
경주 여행,3,데이,NNG
경주 여행,3,택시,NNG
경주 여행,3,투어,NNG
경주 여행,3,smartstore,SL
경주 여행,3,naver,SL
경주 여행,3,com,SL
경주 여행,4,야경,NNG
경주 여행,4,이쁜,VA+ETM
경주 여행,4,안압지,NNP
경주 여행,4,첨성대,NNG
경주 여행,4,16,SN
경주 여행,4,31,SN
경주 여행,4,어울린다,VV+EC
경주 여행,4,에서,JKB
경주 여행,4,빠질,VV+ETM
경주 여행,4,관광지,NNG
경주 여행,4,하나,NR
경주 여행,4,첨성대,NNG
경주 여행,4,첨성대,NNG
경주 여행,4,신라,NNP
경주 여행,4,시대,NNG
경주 여행,4,관측,NNG
경주 여행,4,최근,NNG
경주 여행,4,빼놓,VV
경주 여행,4,코스,NNG
경주 여행,4,다름,VA+ETN
경주 여행,4,아닌,VCN+ETM
경주 여행,4,야경,NNG
경주 여행,4,둘러보,VV
경주 여행,5,경북,NNP
경주 여행,5,불국사,NNG
경주 여행,5,단아,XR
경주 여행,5,정숙,XR
경주 여행,5,묻어나,VV
경주 여행,5,겹벚꽃,NNG
경주 여행,5,벚꽃,NNG
경주 여행,5,벚꽃,NNG
경주 여행,5,즐기,VV
경주 여행,5,고수,NNG
경주 여행,5,라면,VCP+EC
경주 여행,5,서둘러,VV+EC
경주 여행,5,티켓,NNG
경주 여행,5,예약,NNG
경주 여행,5,다시,MAG
경주 여행,5,들썩이,VV
경주 여행,5,지역,NNG
경주 여행,5,벚꽃,NNG
경주 여행,5,거의,MAG
경주 여행,5,떨어지,VV
경주 여행,5,불국사,NNG
경주 여행,5,겹벚꽃,NNG
경주 여행,5,으로,JKB
경주 여행,5,유명,XR
경주 여행,5,불국사,NNP
경주 여행,5,입구,NNG
경주 여행,6,세계,NNG
경주 여행,6,문화유산,NNG
경주 여행,6,양동,NNP
경주 여행,6,마을,NNG
경주 여행,6,18,SN
경주 여행,6,29,SN
경주 여행,6,시간,NNG
경주 여행,6,떠나,VV
경주 여행,6,다면,EC
경주 여행,6,조상,NNG
경주 여행,6,모습,NNG
경주 여행,6,고스란히,MAG
경주 여행,6,간직,NNG
경주 여행,6,수백,NR
경주 여행,6,숨결,NNG
경주 여행,6,양동,NNP
경주 여행,6,마을,NNG
경주 여행,6,제격,NNG
경주 여행,6,아닐까,VCN+EC
경주 여행,6,경상북도,NNP
경주 여행,6,강동면,NNP
경주 여행,6,양동,NNP
경주 여행,6,마을,NNG
경주 여행,6,138,SN
경주 여행,6,18,SN
경주 여행,6,지번,NNG
경주 여행,6,경상북도,NNP
경주 여행,6,강동면,NNP
경주 여행,7,14,SN
경주 여행,7,개월,NNBC
경주 여행,7,아기,NNG
